video_name,f-init,n-frames,video-frames,label-idx
sJFgo9H6zNo,0,3698,4165,Fun sliding down
0Gr4aKQzGYk,901,796,2018,Getting a piercing
hHiPEAiYKv0,0,2491,2490,Shoveling snow
rs7er4e67ec,717,407,2690,Hurling
6ZabZdqdLyA,130,1956,2151,Swinging at the playground
yUSo_xjyGhM,22,1247,1800,Washing dishes
Z8yNbpjUSLc,1572,2724,4987,Making a lemonade
6uhLrPgbpUA,189,172,1381,BMX
2U0vMYnC49c,10,49142,50586,Removing ice from car
gKkk82LG8H0,0,3327,3644,Playing congas
UvuXGKesWS0,297,720,3079,Swimming
8pR6NBu7Ay0,31094,138163,196389,Paintball
BfnM0eyjB5Q,371,3672,4449,Assembling bicycle
maXU1lGguxs,259,1216,2128,Playing violin
0YQPGAsZPgY,199,165892,166113,Playing congas
5Bo0gFXxDQk,6,455,508,Welding
97McCuWAynA,102,65,3814,Surfing
IGcsVPa34Hc,220,702,6431,Baking cookies
qogdv5DWzkQ,0,5563,6634,Braiding hair
1PTNnaEu8xo,30848,86682,163422,Capoeira
xr64cSwpNOM,50,2368,2476,Chopping wood
D_XMD02v690,300,5456,5828,Doing a powerbomb
lVMMPkvnid8,761,717,4737,Playing ten pins
qJYp25ni6tg,641,4801,5793,Preparing salad
a2vaM_aRHv4,1615,1342,5309,Making a cake
5DhbyYavYp4,820,448,7034,Trimming branches or hedges
WMdeqUyHWSo,20307,5889,130143,Kite flying
5iQsKA84vWo,696,3396,4663,Doing kickboxing
zp86ztwZEKk,434,157,2648,Playing field hockey
buhaBimF4M0,1352,4675,6282,Rollerblading
IgEc5mY9L44,579,2170,2745,Welding
WUOiJOqrHlI,164,438,4385,Ping-pong
I4wkBjpwAAU,110,2531,2793,Tug of war
Jifw8dC5yTM,357,3120,3750,Breakdancing
5o9iv0wC59g,195,1062,1363,Playing congas
Ci9WKE6wkOQ,2097,421,4653,Kneeling
IlD4gfHmWIg,113,2528,2806,Using the balance beam
1FMjfLRpXwM,1647,1766,4255,Braiding hair
C0F-xroK_Eg,207,4373,6153,Preparing pasta
ZEgmWaMa9PU,654,2092,6876,Bungee jumping
kcB7HQPxzDM,47347,7071,77147,Discus throw
3C4Nry679BA,33,302,346,Preparing salad
